0,盘锦,67,2013,M,75,232,3990,0.2,1,,,
12,上海,696,2010,,431,955,2870,1.0,5,,,
5,上海,412,2014,M,221,975,5880,0.9,48,3363,17396,0.8
0,Milano,556,2014,M,19,60,280,0.1,6,,,
73,深圳,1555,2010,,933,2496,7070,2.0,1070,48430,299650,9.8
1,无锡,1410,2018,,376,989,5250,5.2,192,7542,72829,11.3
0,武汉,153,2013,,7,,,,2,,,
25,北京,304,2007,,235,1265,1050,0.4,0,4582,32298,0.8
6,深圳,336,2010,M,84,237,2380,0.2,62,4074,25733,0.7
8,上海,427,2008,M,303,1453,8190,0.5,30,1245,9326,0.2
6,哈尔滨,1087,2011,F,333,1580,7350,0.8,7,,,
2956,上海,4911,2007,M,1687,5033,21420,2.8,227,10413,80654,1.6
170,北京,2703,2010,,1116,7395,12110,2.3,543,31170,167400,4.8
10,上海,1886,2010,F,466,1911,5110,0.9,56,1954,17618,0.5
1,上海,819,2015,M,243,2365,2870,1.1,6,,,
12,,337,2017,,182,467,6790,2.0,9,,,
8,,414,2013,,380,2204,5180,1.2,39,1892,11494,0.5
19,杭州,1342,2011,M,193,623,2100,0.5,144,6952,55058,1.6
17,广州,1182,2018,U,12,41,0,0.2,1,,,
231,北京,275,2008,,645,4227,7210,1.1,77,1921,24679,1.2
36,成都,265,2010,F,7,,,,1,,,
2,长沙,86,2019,F,44,116,1190,2.4,12,262,2963,12.0
124,上海,2427,2012,F,65,389,980,0.2,10,386,4308,0.1
51,上海,1247,2009,M,15,27,350,0.0,101,6548,38445,0.9
0,南京,318,2019,M,2,,,,1,,,
1102,喀什,598,2008,,0,,,,56,3947,26201,0.4
5,上海,424,2008,,130,344,2940,0.2,39,1731,14665,0.3
7,北京,273,2018,F,216,1888,2240,3.0,48,1633,18624,2.8
14,上海,4,2017,F,156,481,1470,1.4,111,4605,42609,4.3
38,北京,2779,2017,F,318,904,6650,3.5,127,7181,53563,5.8
440,上海,228,2017,,0,,,,0,,,
12,北京,3374,2016,M,713,2772,10290,5.0,89,3647,36221,3.9
,,,,,,,,,,,,
16,北京,243,2012,M,157,477,3850,0.4,160,6691,53887,1.9
73,杭州,1973,2011,U,933,2913,18900,2.2,472,16025,130277,4.8
205,北京,4862,2010,F,405,1298,6790,0.9,12,337,3241,0.1
5,南京,151,2014,M,31,69,1190,0.1,0,,,
0,武汉,19,2010,,3,,,,1,,,
7,成都,196,2017,,25,47,1400,0.2,0,,,
902,深圳,4417,2007,F,1374,3183,19390,2.3,236,8301,69186,1.7
2,杭州,468,2011,,253,735,1470,0.7,11,343,4306,0.2
7,北京,329,2013,F,22,120,490,0.1,4,,,
2171,Tōkyō,11524,2009,,2515,8902,14000,4.6,819,43845,245983,6.5
947,Toronto,7462,2009,F,809,2777,5530,1.6,79,3835,18690,0.7
34,北京,512,2005,,1079,4858,7140,2.1,1175,34402,405850,9.6
4,武汉,2157,2011,,104,556,2030,0.3,9,,,
27,宁波,945,2010,,60,244,560,0.1,125,5786,33703,1.2
10,上海,830,2010,M,5,,,,2,,,
10,Reykjavík,222,2011,,17,39,770,0.0,9,,,
1,北京,888,2011,M,166,532,4550,0.4,33,2145,11435,0.3
340,上海,5879,2010,F,555,1473,7140,1.1,152,6752,42041,1.3
0,,52,2018,,0,,,,0,,,
334,,1071,2012,M,23,44,770,0.1,7,,,
51,İstanbul,4849,2008,F,429,2672,4270,0.8,274,8528,73130,2.1
76,北京,1705,2009,,275,762,2170,0.5,98,3211,41083,1.0
55,San Francisco Bay Area,2968,2007,,467,1311,4060,0.7,49,2216,16483,0.3
15,重庆,839,2011,U,419,813,9800,1.0,31,1347,8371,0.3
2,长沙,141,2012,M,89,954,1610,0.3,10,616,4008,0.2
8,广州,582,2009,M,165,845,3080,0.3,18,700,5783,0.2
7,北京,696,2013,F,71,226,1610,0.3,28,1330,17246,0.5
10,北京,2500,2011,,9,,,,0,,,
19,成都,1109,2013,F,1200,5547,7210,4.1,226,7476,69672,4.5
41,北京,484,2007,,239,568,5950,0.4,15,529,4200,0.1
0,上海,564,2014,F,188,913,4410,0.8,107,3373,39236,2.0
17,beitun,1105,2006,M,1954,6895,9240,2.9,521,17609,154803,3.3
3,烟台,668,2011,M,211,1379,2940,0.5,2,,,
