loc,status,year,sex,collect,spend,cost,avg,country1,country2,type1,type2,type3
扬州,984,2007,,25,57,910,0.0,中国大陆,美国,剧情,科幻,动作
南京,903,2010,,6,,,,,,,,
Tbilisi,168,2018,M,49,250,140,0.8,日本,美国,动画,剧情,奇幻
盘锦,67,2013,M,75,232,3990,0.2,美国,中国大陆,动作,剧情,冒险
上海,697,2010,,431,955,2870,1.0,美国,英国,剧情,喜剧,惊悚
上海,415,2014,M,223,977,5880,0.9,美国,中国大陆,剧情,动作,冒险
Milano,558,2014,M,19,60,280,0.1,美国,日本,剧情,传记,悬疑
深圳,1555,2010,,933,2496,7070,2.0,美国,日本,剧情,动作,惊悚
扬州,1416,2018,,377,992,5250,5.1,美国,英国,剧情,动作,犯罪
武汉,164,2013,,7,,,,,,,,
北京,305,2007,,236,1265,1050,0.4,美国,日本,剧情,爱情,喜剧
深圳,341,2010,M,85,240,2380,0.2,美国,中国大陆,剧情,奇幻,喜剧
上海,429,2008,M,304,1460,8190,0.5,美国,中国大陆,剧情,喜剧,动作
哈尔滨,1098,2011,F,333,1580,7350,0.8,美国,中国大陆,剧情,动作,喜剧
上海,4913,2007,M,1688,5035,21490,2.7,美国,中国大陆,剧情,动作,冒险
北京,2703,2010,,1117,7397,12110,2.3,日本,中国大陆,剧情,动画,动作
上海,1890,2010,F,469,1924,5250,0.9,美国,日本,剧情,爱情,喜剧
上海,824,2015,M,243,2365,2870,1.1,中国大陆,美国,剧情,动作,爱情
,338,2017,,182,467,6790,2.0,中国大陆,美国,剧情,动作,喜剧
,415,2013,,381,2205,5180,1.2,美国,中国大陆,剧情,喜剧,爱情
杭州,1342,2011,M,193,623,2100,0.5,美国,香港,喜剧,动作,剧情
广州,1190,2018,U,12,41,0,0.2,美国,日本,剧情,动画,爱情
北京,275,2008,,645,4227,7210,1.1,中国大陆,香港,剧情,犯罪,爱情
成都,265,2010,F,7,,,,,,,,
长沙,89,2019,F,44,116,1190,2.4,美国,日本,剧情,奇幻,爱情
上海,2446,2012,F,70,414,980,0.2,美国,日本,剧情,喜剧,爱情
上海,1247,2009,M,15,27,350,0.0,中国大陆,香港,剧情,爱情,喜剧
南京,318,2019,M,2,,,,,,,,
喀什,601,2008,,0,,,,,,,,
上海,424,2008,,131,346,3010,0.2,美国,中国大陆,剧情,喜剧,家庭
北京,280,2018,F,216,1888,2240,3.0,美国,日本,动画,喜剧,剧情
上海,4,2017,F,156,481,1470,1.4,日本,英国,剧情,爱情,同性
北京,2842,2017,F,318,904,6650,3.5,美国,中国大陆,剧情,爱情,喜剧
上海,229,2017,,0,,,,,,,,
北京,3382,2016,M,716,2784,10290,5.0,日本,美国,动画,剧情,动作
,,,,,,,,,,,,
北京,243,2012,M,157,477,3850,0.4,美国,中国大陆,剧情,动作,喜剧
杭州,1980,2011,U,936,2918,18970,2.2,美国,中国大陆,剧情,喜剧,爱情
北京,4863,2010,F,406,1300,6860,0.9,美国,香港,剧情,爱情,动作
南京,151,2014,M,31,69,1190,0.1,美国,中国大陆,剧情,喜剧,动作
武汉,19,2010,,3,,,,,,,,
成都,196,2017,,25,47,1400,0.2,美国,中国大陆,动作,剧情,科幻
深圳,4437,2007,F,1377,3188,19810,2.3,美国,法国,剧情,爱情,喜剧
杭州,468,2011,,253,735,1470,0.7,美国,英国,剧情,爱情,喜剧
北京,329,2013,F,22,120,490,0.1,美国,中国大陆,剧情,喜剧,爱情
Tōkyō,11533,2009,,2515,8902,14000,4.6,日本,美国,剧情,喜剧,爱情
Toronto,7465,2009,F,809,2777,5530,1.6,美国,日本,剧情,动画,喜剧
北京,512,2005,,1079,4858,7140,2.1,美国,中国大陆,剧情,动作,喜剧
武汉,2157,2011,,104,556,2030,0.3,日本,美国,剧情,喜剧,动画
宁波,945,2010,,60,244,560,0.1,日本,美国,剧情,动画,悬疑
上海,831,2010,M,5,,,,,,,,
Reykjavík,222,2011,,17,39,770,0.0,美国,中国大陆,剧情,动作,冒险
北京,891,2011,M,166,532,4550,0.4,中国大陆,美国,剧情,动作,喜剧
上海,5891,2010,F,558,1480,7210,1.1,美国,中国大陆,剧情,喜剧,爱情
,52,2018,,0,,,,,,,,
,1071,2012,M,23,44,770,0.1,中国大陆,美国,剧情,喜剧,冒险
İstanbul,4895,2008,F,431,2677,4410,0.8,美国,日本,剧情,喜剧,爱情
北京,1706,2009,,275,762,2170,0.5,美国,英国,剧情,喜剧,爱情
